module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Accounting Dimension Filter,company,Company,Link,varchar(140),Company,1,0,0,0,,
Accounts,Accounting Dimension Filter,apply_restriction_on_values,Apply restriction on dimension values,Check,smallint,,0,0,0,0,1,
Accounts,Accounting Dimension Filter,fieldname,Fieldname,Data,varchar(140),,0,0,0,0,,
Accounts,Accounting Period,period_name,Period Name,Data,varchar(140),,1,1,0,0,,
Accounts,Accounting Period,start_date,Start Date,Date,date,,1,0,0,0,,
Accounts,Accounting Period,end_date,End Date,Date,date,,1,0,0,0,,
Accounts,Accounting Period,company,Company,Link,varchar(140),Company,1,0,0,0,,
Accounts,Accounting Period,disabled,Disabled,Check,smallint,,0,0,0,0,0,
Accounts,Accounting Period,exempted_role,Exempted Role,Link,varchar(140),Role,0,0,0,0,,
Accounts,Accounts Settings,determine_address_tax_category_from,Determine Address Tax Category from,Select,varchar(140),Billing Address|Shipping Address,0,0,0,0,Billing Address,
Accounts,Accounts Settings,credit_controller,Role allowed to bypass credit limit,Link,varchar(140),Role,0,0,0,0,,
Accounts,Accounts Settings,check_supplier_invoice_uniqueness,Check Supplier invoice number uniqueness,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,make_payment_via_journal_entry,Make Payment via Journal Entry,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,unlink_payment_on_cancellation_of_invoice,Unlink Payment on cancellation of invoice,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,unlink_advance_payment_on_cancelation_of_order,Unlink Advance Payment on cancellation of order,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,book_asset_depreciation_entry_automatically,Book Asset Depreciation entry automatically,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,add_taxes_from_item_tax_template,Automatically add Taxes and Charges from Item Tax Template,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,show_inclusive_tax_in_print,Show inclusive tax in print,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,show_payment_schedule_in_print,Show Payment Schedule in print,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,allow_stale,Allow Stale Exchange Rates,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,stale_days,Stale Days,Int,integer,,0,0,0,0,1,
Accounts,Accounts Settings,automatically_fetch_payment_terms,Automatically fetch Payment Terms from Order/Quotation,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,over_billing_allowance,Over Billing Allowance (%),Currency,"numeric(21,9)",,0,0,0,0,,
